Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D48,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-61.339231,45,top
D49,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-61.339231,45,top
D50,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-63.839231,45,top
D51,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-63.839231,45,top
D52,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-63.839231,45,top
D53,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-63.839231,45,top
D54,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-63.839231,45,top
D55,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-63.839231,45,top
D56,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-63.839231,45,top
D57,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-63.839231,45,top
D58,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-63.839231,45,top
D59,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-63.839231,45,top
D60,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-63.839231,45,top
D61,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-63.839231,45,top
D62,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-66.339231,45,top
D63,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-66.339231,45,top
D64,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-66.339231,45,top
D65,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-66.339231,45,top
D66,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-66.339231,45,top
D67,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-66.339231,45,top
D68,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-66.339231,45,top
D69,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-66.339231,45,top
D70,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-66.339231,45,top
D71,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-66.339231,45,top
D72,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-66.339231,45,top
D73,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-66.339231,45,top
D74,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-68.839231,45,top
D75,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-68.839231,45,top
D76,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-68.839231,45,top
D77,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-68.839231,45,top
D78,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-68.839231,45,top
D79,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-68.839231,45,top
D80,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-68.839231,45,top
D81,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-68.839231,45,top
D82,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-68.839231,45,top
D83,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-68.839231,45,top
D84,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-68.839231,45,top
D85,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-68.839231,45,top
D86,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-71.339231,45,top
D87,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-71.339231,45,top
D88,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-71.339231,45,top
D89,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-71.339231,45,top
D90,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-71.339231,45,top
D91,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-71.339231,45,top
D92,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-71.339231,45,top
D93,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-71.339231,45,top
D94,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-71.339231,45,top
D95,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-71.339231,45,top
D96,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-71.339231,45,top
D97,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-71.339231,45,top
D98,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-73.839231,45,top
D99,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-73.839231,45,top
D100,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-73.839231,45,top
D101,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-73.839231,45,top
D102,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-73.839231,45,top
D103,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-73.839231,45,top
D104,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-73.839231,45,top
D105,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-73.839231,45,top
D106,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-73.839231,45,top
D107,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-73.839231,45,top
D108,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-73.839231,45,top
D109,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-73.839231,45,top
D110,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-76.339231,45,top
D111,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-76.339231,45,top
D112,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-76.339231,45,top
D113,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-76.339231,45,top
D114,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-76.339231,45,top
D115,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-76.339231,45,top
D116,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-76.339231,45,top
D117,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-76.339231,45,top
D118,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-76.339231,45,top
D119,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-76.339231,45,top
D120,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-76.339231,45,top
D121,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-76.339231,45,top
D122,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-78.839231,45,top
D123,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-78.839231,45,top
